"filename", "language", "XML", "HTML", "Markdown", "Java", "JavaScript", "Less", "CSS", "SCSS", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\resources\mybatis\mapper\UserFriend_Mapper.xml", "XML", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\resources\mybatis\mapper\UserGroup_Mapper.xml", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\resources\mybatis\mapper\User_Mapper.xml", "XML", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\resources\spring-config.xml", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\resources\spring\spring-config-service.xml", "XML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 25
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\webapp\chat\server\js\server.js", "JavaScript", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 4, 13, 83
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\webapp\chat\server\server.html", "HTML", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\webapp\chat\user\css\user.css", "CSS", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\webapp\chat\user\js\user.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 3, 4, 44
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\webapp\chat\user\user.html", "HTML", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\webapp\index.html", "HTML", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 112
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\webapp\res\api\clear.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\webapp\res\api\init.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 43
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\webapp\res\api\menus.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 254, 0, 0, 0, 254
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\webapp\res\api\table.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 127
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\webapp\res\api\tableSelect.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 23
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\webapp\res\api\upload.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\webapp\res\css\layuimini.css", "CSS", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 25, 15, 138
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-ddd\src\main\webapp\res\css\official-evaluation\index.css", "CSS", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 2, 9, 56
